区域,名称,景点id,类型,级别,热度,经纬度
江西·景德镇·浮梁县,瑶里,3752083254,文化古迹,4A景区,热度 0.,"117.588075,29.547307"
北京·北京·密云县,司马台长城,2335961053,文化古迹,4A景区,热度 0.,"117.284641,40.660322"
四川·成都·武侯区,锦里,1431295098,文化古迹,,热度 0.,"104.056424,30.651723"
河南·安阳·安阳县,殷墟,286886611,文化古迹,5A景区,热度 0.,"114.315893,36.148167"
上海·上海·青浦区,朱家角古镇,2012753547,文化古迹,4A景区,热度 0.,"121.061605,31.116917"
陕西·西安·碑林区,西安城墙,2070637965,文化古迹,4A景区,热度 0.,"108.953364,34.256023"
浙江·杭州·西湖,六和塔,1540088511,文化古迹,,热度 0.,"120.138137,30.202771"
新疆·吐鲁番·吐鲁番市,火焰山,2264234936,文化古迹,4A景区,热度 0.,"89.536075,42.951144"
湖北·武汉·武昌区,户部巷,2300176978,文化古迹,,热度 0.,"114.30429,30.552322"
浙江·温州·文成县,百丈漈,501628843,文化古迹,,热度 0.,"120.030207,27.852205"
陕西·西安·灞桥区,西安半坡博物馆,598307051,文化古迹,4A景区,热度 0.,"109.057557,34.279342"
山西·忻州·代县,雁门关,227376430,文化古迹,5A景区,热度 0.,"112.894892,39.168842"
山东·泰安·泰山,岱庙,3051545891,文化古迹,,热度 0.,"117.137797,36.200222"
澳门·澳门·凼仔岛,澳门威尼斯人度假村,1948191415,文化古迹,,热度 0.,"113.571859,22.150543"
四川·成都·安仁古镇,刘氏庄园,3844377584,文化古迹,4A景区,热度 0.,"103.634052,30.510959"
福建·福州·鼓楼区,三坊七巷,587312522,文化古迹,5A景区,热度 1.,"119.303907,26.088959"
安徽·马鞍山·雨山区,采石矶,2312433633,文化古迹,4A景区,热度 1.,"118.466567,31.656788"
重庆·重庆·渝中区,湖广会馆,4257817711,文化古迹,4A景区,热度 0.,"106.593781,29.564524"
江苏·苏州·周庄欢乐世界,沈万三故居,3217832809,文化古迹,,热度 0.,"120.864508,31.118359"
辽宁·沈阳·皇姑区,沈阳昭陵,3174299159,文化古迹,4A景区,热度 0.,"123.434063,41.85812"
云南·昆明·西山区,昆明西山龙门景区,1353886282,文化古迹,4A景区,热度 0.,"102.632056,24.970701"
山西·运城·盐湖区,解州关帝庙,3974308831,文化古迹,4A景区,热度 0.,"110.856919,34.913108"
山东·临沂·沂南县,竹泉村,2934853487,文化古迹,4A景区,热度 0.,"118.444301,35.653863"
广东·湛江·霞山区,特呈渔岛度假村,166047906,文化古迹,,热度 0.,"110.419846,21.191515"
江苏·苏州·吴中区,木渎古镇,3127571745,文化古迹,4A景区,热度 0.,"120.512729,31.260181"
山西·大同·城区,大同华严寺,1352199069,文化古迹,4A景区,热度 0.,"113.30328,40.098777"
浙江·嘉兴·乌镇,乌镇东栅,1847125241,文化古迹,,热度 0.,"120.503219,30.747083"
浙江·宁波·溪口景区,雪窦山,1102031209,文化古迹,,热度 0.,"121.290404,29.687924"
广东·梅州·梅县,桥溪古韵,1007189139,文化古迹,,热度 0.,"116.375616,24.37905"
云南·西双版纳·景洪市,勐泐大佛寺,720967282,文化古迹,4A景区,热度 0.,"100.81375519985,21.969540244135"
浙江·宁波·象山县,中国渔村,864865639,文化古迹,4A景区,热度 0.,"121.966257,29.243854"
北京·北京·怀柔区,红螺寺,2840897765,文化古迹,4A景区,热度 0.,"116.631693,40.380966"
山西·晋中·灵石县,山西王家大院,2084299625,文化古迹,4A景区,热度 0.,"111.881551,36.902417"
四川·绵阳·梓潼县,七曲山大庙,266299421,文化古迹,4A景区,热度 0.,"105.203606,31.700846"
甘肃·酒泉·敦煌市,玉门关,3463828129,文化古迹,,热度 0.,"93.87168,40.360143"
宁夏·银川·贺兰县,贺兰山岩画,3791448389,文化古迹,4A景区,热度 0.,"105.911845,38.771685"
江苏·南京·夫子庙秦淮河,夫子庙大成殿,2428867156,文化古迹,,热度 0.,"118.795346,32.026901"
北京·北京·西城区,德云社相声大会广德楼店,3630726808,文化古迹,,热度 0.,"116.398268,39.900822"
河南·许昌·魏都区,曹丞相府,505554869,文化古迹,3A景区,热度 0.,"113.83404,34.036566"
重庆·重庆·大足县,大足石刻,1184661441,文化古迹,5A景区,热度 0.,"105.716678,29.718935"
江苏·苏州·常熟市,沙家浜,3969348563,文化古迹,5A景区,热度 0.,"120.807985,31.559447"
北京·北京·东城区,雍和宫,3125362020,文化古迹,,热度 0.,"116.423433,39.954954"
江苏·南京·钟山风景区,音乐台,2647143637,文化古迹,,热度 0.,"118.861977,32.060752"
广西·桂林·阳朔县,阳朔,273058741,文化古迹,,热度 0.,"110.502714,24.784504"
福建·漳州·漳浦县,漳州土楼群,3950916134,文化古迹,,热度 0.,"117.101623,24.662736"
江苏·苏州·周庄,四季周庄,3090290082,文化古迹,,热度 0.,"120.852832,31.121099"
海南·陵水,椰田古寨,744053972,文化古迹,,热度 0.,"109.865679,18.432287"
广西·桂林·叠彩伏波景区,叠彩山,1069845752,文化古迹,,热度 0.,"110.30751,25.296191"
江苏·苏州·吴中区,甪直古镇,2814514246,文化古迹,4A景区,热度 0.,"120.878241,31.276029"
福建·龙岩·永定县,永定土楼群（福建客家土楼）,2156795808,文化古迹,,热度 0.,"116.911064,24.55235"
河南·开封·龙亭区,天波杨府,1466493325,文化古迹,,热度 0.,"114.353764,34.816973"
河北·石家庄·鹿泉市,石家庄抱犊寨,1456854129,文化古迹,4A景区,热度 0.,"114.347321,38.084703"
甘肃·张掖·甘州区,张掖大佛寺,2085346024,文化古迹,4A景区,热度 1.,"100.46267,38.936969"
山东·济宁·三孔,曲阜孔林,1848825924,文化古迹,5A景区,热度 0.,"116.999139,35.624655"
云南·昆明·盘龙区,昆明金殿风景名胜区,4174409634,文化古迹,4A景区,热度 0.,"102.77558,25.089211"
新疆·阿克苏地区·库车县,库车王府,3826911397,文化古迹,,热度 0.,"82.928669,41.725384"
北京·北京·石景山区,八大处公园,3063258403,文化古迹,4A景区,热度 0.,"116.190163,39.967956"
浙江·宁波·镇海区,郑氏十七房,342013865,文化古迹,4A景区,热度 0.,"121.614114,30.027024"
江苏·扬州·维扬区,大明寺,2002297980,文化古迹,4A景区,热度 0.,"119.419311,32.425243"
河南·郑州·巩义市,康百万庄园,164823683,文化古迹,4A景区,热度 0.,"112.957185,34.76884"
浙江·金华·东阳市,横店圆明新园,772759929,文化古迹,,热度 0.,"120.276956,29.117951"
浙江·嘉兴·海宁市,盐官观潮景区,3911355788,文化古迹,4A景区,热度 0.,"120.553255,30.40823"
福建·龙岩·永定土楼群（福建客家土楼）,高北土楼群（永定土楼）,2096568872,文化古迹,5A景区,热度 0.,"117.011006,24.668343"
辽宁·葫芦岛·兴城市,兴城古城,60967305,文化古迹,4A景区,热度 0.,"120.718666,40.629181"
云南·大理·大理市,小普陀,2991473783,文化古迹,,热度 0.,"100.230135,25.81329"
浙江·杭州·西湖,胡雪岩故居,3898235716,文化古迹,,热度 0.,"120.179401,30.242803"
贵州·黔东南·镇远,镇远青龙洞,3651435196,文化古迹,3A景区,热度 0.,"108.440226,27.055462"
福建·漳州·南靖土楼群,田螺坑土楼群,3757888270,文化古迹,,热度 0.,"117.067305,24.589879"
重庆·重庆·南川区,金佛山,3863687047,文化古迹,5A景区,热度 0.,"107.207362,29.104603"
安徽·黄山·歙县,徽州古城,2111320238,文化古迹,5A景区,热度 0.,"118.442455,29.871875"
重庆·重庆·丰都县,丰都鬼城,613966419,文化古迹,4A景区,热度 0.,"107.731507,29.891926"
河北·唐山·遵化市,清东陵,593216851,文化古迹,5A景区,热度 1.,"117.712436,40.136521"
甘肃·天水·秦州区,伏羲庙,2629797803,文化古迹,4A景区,热度 0.,"105.713824,34.585441"
江苏·常州·武进区,春秋淹城遗址公园,3889789142,文化古迹,5A景区,热度 0.,"119.931405,31.709256"
山东·济宁·三孔,曲阜孔府,400442679,文化古迹,,热度 0.,"116.99790413106,35.602654507358"
四川·宜宾·兴文县,兴文石海,2832463844,文化古迹,,热度 0.,"104.924317,28.2863"
广西·南宁·西乡塘区,龙门水都,1615698442,文化古迹,,热度 0.,"108.265236,22.891265"
河北·廊坊·香河县,中信国安天下第一城,305218237,文化古迹,4A景区,热度 1.,"116.913678,39.721352"
河北·石家庄·赵县,赵州桥,289968096,文化古迹,4A景区,热度 0.,"114.775583,37.728641"
云南·德宏·瑞丽市,一寨两国,1675818059,文化古迹,,热度 0.,"97.802071,23.961167"
广东·阳江·江城区,闸坡,2082612446,文化古迹,,热度 0.,"111.848297,21.574987"
山西·忻州·五台山,五爷庙,3193097288,文化古迹,,热度 0.,"113.60863542041,38.983173091396"
江苏·苏州·金阊区,枫桥,3484506290,文化古迹,,热度 0.,"120.571639,31.32104"
浙江·宁波·溪口景区,蒋氏故居,1772819044,文化古迹,,热度 0.,"121.292095,29.688748"
陕西·西安·曲江旅游度假区,曲江寒窑遗址公园,4172763897,文化古迹,,热度 0.,"108.997584,34.204789"
山东·济宁·曲阜,三孔,1655456716,文化古迹,5A景区,热度 0.,"116.996485,35.597878"
广东·肇庆·德庆县,肇庆龙母祖庙,4182074438,文化古迹,4A景区,热度 0.,"112.141314,23.098675"
甘肃·酒泉·敦煌市,汉长城,3987372850,文化古迹,,热度 0.,"93.493006,40.301076"
陕西·延安·宝塔区,枣园革命旧址,4112163668,文化古迹,4A景区,热度 0.,"109.428553,36.633613"
河南·南阳·宛城区,南阳府衙,4181481740,文化古迹,,热度 0.,"112.543726,32.998989"
河南·三门峡·陕县,陕州地坑院,1461802010,文化古迹,,热度 0.,"111.145534,34.697394"
浙江·宁波·象山县,石浦渔港古城,3374522537,文化古迹,4A景区,热度 0.,"121.953183,29.215423"
北京·北京·西城区,什刹海,2532223338,文化古迹,4A景区,热度 0.,"116.390595,39.949373"
河北·承德·双桥区,普陀宗乘之庙,3537395770,文化古迹,4A景区,热度 0.,"117.955153,41.013316"
广西·柳州·三江县,程阳八寨景区,2247288538,文化古迹,4A景区,热度 0.,"109.647018,25.901019"
安徽·黄山·歙县,牌坊群鲍家花园,3698678527,文化古迹,5A景区,热度 0.,"118.378696,29.868063"
江苏·苏州·昆山市,锦溪古镇,418396906,文化古迹,4A景区,热度 0.,"120.905582,31.180834"
四川·成都·都江堰市,蓝光水果侠主题世界,4121730918,文化古迹,,热度 0.,"103.60936,30.980932"
辽宁·丹东·宽甸县,虎山长城,618081245,文化古迹,4A景区,热度 0.,"124.528379,40.232817"
重庆·重庆·奉节县,白帝城,4086229355,文化古迹,4A景区,热度 0.,"109.580814,31.049698"
河北·邯郸·永年县,朱山石刻,1051005738,文化古迹,,热度 0.,"114.428014,36.803098"
陕西·西安·碑林区,小雁塔,61652045,文化古迹,,热度 0.,"108.948496,34.245487"
巴黎,卢浮宫,2403245125,文化古迹,,热度 1.,"2.33603,48.862926"
云南·红河·建水县,朱家花园,1098554387,文化古迹,4A景区,热度 0.,"102.833826,23.622492"
湖南·湘西·吉首市,德夯苗寨,2582824176,文化古迹,4A景区,热度 0.,"109.59824,28.347204"
湖南·湘西·永顺县,王村芙蓉镇,3821446453,文化古迹,,热度 0.,"109.95547,28.751383"
广东·阳江·阳西县,沙扒湾,97024739,文化古迹,,热度 0.,"111.479697,21.518189"
河南·南阳·卧龙区,南阳卧龙岗武侯祠,3204167087,文化古迹,4A景区,热度 0.,"112.513787,32.983439"
安徽·宣城·绩溪县,龙川风景区,3726110629,文化古迹,5A景区,热度 1.,"118.674492,30.081468"
山东·威海·荣成市,鸡鸣岛,2151844903,文化古迹,,热度 0.,"122.489831,37.456227"
广西·桂林·兴安县,灵渠,4177556570,文化古迹,4A景区,热度 0.,"110.690678,25.604685"
湖南·长沙·岳麓区,岳麓书院,1921974583,文化古迹,,热度 0.,"112.94755,28.186708"
江苏·南京·夫子庙秦淮河,中华门瓮城景区,447199902,文化古迹,,热度 0.,"118.788411,32.018996"
广东·广州·番禺,余荫山房,3722628593,文化古迹,,热度 0.,"113.401845,23.018022"
江苏·苏州·昆山市,千灯古镇,3294650863,文化古迹,4A景区,热度 0.,"121.009335,31.272657"
广东·深圳·宝安区,海上田园,3414638819,文化古迹,4A景区,热度 0.,"113.780542,22.733255"
辽宁·抚顺·新宾县,赫图阿拉城,645260374,文化古迹,4A景区,热度 1.,"124.871397,41.710011"
江苏·扬州·邗江区,扬州古运河,2722811885,文化古迹,3A景区,热度 0.,"119.435822,32.362876"
山西·临汾·洪洞县,洪洞大槐树,1593121255,文化古迹,4A景区,热度 1.,"111.681287,36.275181"
